X,Y,Z
-192.6349,-192.9435,-4.0449
-192.5727,-192.5594,-4.0449
-192.4260,-192.0952,-4.0449
-191.6182,-191.9621,-4.0449
192.5408,-192.4488,-4.0449
192.6302,-192.8514,-4.0449
192.5977,-193.1953,-4.0449
192.4382,-193.5147,-4.0449
192.2020,-193.7882,-4.0449
191.9034,-193.9558,-4.0449
191.8130,-193.9805,-4.0449
192.1166,187.3698,-4.0449
192.4162,187.9803,-4.0449
192.6355,188.4533,-4.0449
192.8143,188.6129,-4.0449
193.2811,188.2571,-4.0449
193.0817,187.7546,-4.2431
193.9662,187.4912,-4.2431
-193.0817,187.7546,-4.2431
-192.6168,188.1087,-4.2431
-192.4385,187.9465,-4.2431
-192.2193,187.4717,-4.2431
-191.9198,186.8600,-4.2431
-191.6150,186.2971,-4.2431
-191.9345,-193.7030,-4.2431
-192.1849,-193.4529,-4.2431
-192.3688,-193.1403,-4.2431
-192.4357,-192.8051,-4.2431
-192.3730,-192.4209,-4.2431
-192.2261,-191.9564,-4.2431
-191.8182,-191.8233,-4.2431
192.3411,-192.3102,-4.2431
192.4308,-192.7130,-4.2431
192.3989,-193.0569,-4.2431
192.2399,-193.3759,-4.2431
192.0040,-193.6488,-4.2431
191.7052,-193.8159,-4.2431
191.6147,-193.8405,-4.2431
191.9198,186.8600,-4.2431
192.2193,187.4717,-4.2431
192.4385,187.9465,-4.2431
192.6168,188.1087,-4.2431
193.0817,187.7546,-4.2431
192.8823,187.2511,-4.4414
193.7674,186.9872,-4.4414
-192.8823,187.2511,-4.4414
-192.4192,187.6034,-4.4414
-192.2415,187.4385,-4.4414
-192.0224,186.9620,-4.4414
-191.7231,186.3490,-4.4414
-191.4168,185.7820,-4.4414
-191.7364,-193.5635,-4.4414
-191.9867,-193.3139,-4.4414
-192.1701,-193.0018,-4.4414
-192.2365,-192.6668,-4.4414
-192.1734,-192.2823,-4.4414
-192.0261,-191.8177,-4.4414
-191.0182,-191.6844,-4.4414
192.1413,-192.1717,-4.4414
192.2314,-192.5746,-4.4414
192.2001,-192.9185,-4.4414
192.0416,-193.2372,-4.4414
191.8059,-193.5094,-4.4414
191.5070,-193.6759,-4.4414
191.4165,-193.7004,-4.4414
191.7231,186.3490,-4.4414
192.0224,186.9620,-4.4414
192.2415,187.4385,-4.4414
192.4192,187.6034,-4.4414
192.8823,187.2511,-4.4414
192.6829,186.7465,-4.6396
193.5687,186.4821,-4.6396
-192.6829,186.7465,-4.6396
-192.2217,187.0970,-4.6396
-192.0445,186.9295,-4.6396
-191.8255,186.4512,-4.6396
-191.5264,185.8370,-4.6396
-191.2185,185.2658,-4.6396
-191.5384,-193.4239,-4.6396
-191.7885,-193.1750,-4.6396
-191.9715,-192.8634,-4.6396
-192.0372,-192.5284,-4.6396
-191.9737,-192.1439,-4.6396
-191.8262,-191.6789,-4.6396
-191.2182,-191.5456,-4.6396
191.9415,-192.0331,-4.6396
192.0321,-192.4362,-4.6396
192.0013,-192.7801,-4.6396
191.8434,-193.0984,-4.6396
191.6078,-193.3700,-4.6396
191.3088,-193.5360,-4.6396
191.2182,-193.5604,-4.6396
191.5264,185.8370,-4.6396
191.8255,186.4512,-4.6396
192.0445,186.9295,-4.6396
192.2217,187.0970,-4.6396
192.6829,186.7465,-4.6396
192.4835,186.2408,-4.8379
193.3700,185.9758,-4.8379
-192.4835,186.2408,-4.8379
-192.0242,186.5895,-4.8379
-191.8476,186.4194,-4.8379
-191.6286,185.9394,-4.8379
-191.3297,185.3238,-4.8379
-191.0203,184.7485,-4.8379
-191.3403,-193.2844,-4.8379
-191.5903,-193.0361,-4.8379
-191.7728,-192.7249,-4.8379
-191.8380,-192.3900,-4.8379
-191.7740,-192.0053,-4.8379
-191.6262,-191.5402,-4.8379
-191.4182,-191.4068,-4.8379
191.7418,-191.8945,-4.8379
191.8327,-192.2979,-4.8379
191.8025,-192.6417,-4.8379
191.6451,-192.9596,-4.8379
191.4098,-193.2307,-4.8379
191.1106,-193.3961,-4.8379
191.0200,-193.4204,-4.8379
191.3297,185.3238,-4.8379
191.6286,185.9394,-4.8379
191.8476,186.4194,-4.8379
192.0242,186.5895,-4.8379
192.4835,186.2408,-4.8379
192.2841,185.7341,-5.0361
193.1713,185.4685,-5.0361
-192.2841,185.7341,-5.0361
-191.8267,186.0809,-5.0361
-191.6506,185.9082,-5.0361
-191.4317,185.4264,-5.0361
-191.1330,184.8096,-5.0361
-190.8221,184.2300,-5.0361
-191.1422,-193.1449,-5.0361
-191.3922,-192.8972,-5.0361
-191.5741,-192.5865,-5.0361
-191.6388,-192.2517,-5.0361
-191.5743,-191.8668,-5.0361
-191.4263,-191.4014,-5.0361
-190.6182,-191.2680,-5.0361
191.5420,-191.7560,-5.0361
191.6334,-192.1595,-5.0361
191.6037,-192.5033,-5.0361
191.4468,-192.8208,-5.0361
191.2117,-193.0913,-5.0361
190.9125,-193.2562,-5.0361
190.8217,-193.2803,-5.0361
191.1330,184.8096,-5.0361
191.4317,185.4264,-5.0361
191.6506,185.9082,-5.0361
191.8267,186.0809,-5.0361
192.2841,185.7341,-5.0361
192.0847,185.2262,-5.2344
192.9725,184.9601,-5.2344
